ENSMUSG00000064341	PF00146
ENSMUSG00000022974	PF07842
ENSMUSG00000031289	PF09240
ENSMUSG00000022364	PF00566
ENSMUSG00000025076	PF00656
ENSMUSG00000005864	PF00520
ENSMUSG00000005864	PF00027
ENSMUSG00000005864	PF16526
ENSMUSG00000096194	PF00651
ENSMUSG00000039851	PF15137
ENSMUSG00000033343	PF01454
ENSMUSG00000033343	PF12440
ENSMUSG00000118459	PF00651
ENSMUSG00000067262	PF03402
ENSMUSG00000039830	PF00010
ENSMUSG00000080268	PF08598
ENSMUSG00000046160	PF00010
ENSMUSG00000024620	PF00047
ENSMUSG00000024620	PF13927
ENSMUSG00000024620	PF07714
ENSMUSG00000021363	PF00069
ENSMUSG00000031333	PF00005
ENSMUSG00000031333	PF00664
ENSMUSG00000094601	PF02513
ENSMUSG00000099711	PF00651
ENSMUSG00000073016	PF14681
ENSMUSG00000031340	PF02932
ENSMUSG00000031340	PF02931
ENSMUSG00000118409	PF00651
ENSMUSG00000024621	PF07714
ENSMUSG00000024621	PF00047
ENSMUSG00000101500	PF00651
ENSMUSG00000021326	PF13765
ENSMUSG00000021326	PF00622
ENSMUSG00000021326	PF00643
ENSMUSG00000021326	PF15227
ENSMUSG00000043453	PF01454
ENSMUSG00000052085	PF06920
ENSMUSG00000052085	PF11878
ENSMUSG00000052085	PF14429
ENSMUSG00000000555	PF08441
ENSMUSG00000000555	PF01839
ENSMUSG00000101294	PF00651
ENSMUSG00000024883	PF02204
ENSMUSG00000033906	PF01529
ENSMUSG00000095934	PF00651
ENSMUSG00000024622	PF09011
ENSMUSG00000024622	PF18717
ENSMUSG00000078324	PF00651
ENSMUSG00000031224	PF01454
ENSMUSG00000096915	PF00651
ENSMUSG00000022708	PF00096
ENSMUSG00000022708	PF00651
ENSMUSG00000118429	PF00651
ENSMUSG00000095659	PF02513
ENSMUSG00000056481	PF00059
ENSMUSG00000056481	PF14670
ENSMUSG00000118438	PF00651
ENSMUSG00000061451	PF14857
ENSMUSG00000034320	PF01740
ENSMUSG00000034320	PF00916
ENSMUSG00000022456	PF00735
ENSMUSG00000032702	PF12075
ENSMUSG00000032702	PF12796
ENSMUSG00000031343	PF02932
ENSMUSG00000031343	PF02931
ENSMUSG00000020593	PF04571
ENSMUSG00000020593	PF16876
ENSMUSG00000020593	PF08235
ENSMUSG00000071552	PF07686
ENSMUSG00000024837	PF00751
ENSMUSG00000024837	PF12374
ENSMUSG00000021666	PF00009
ENSMUSG00000021666	PF03764
ENSMUSG00000021666	PF14492
ENSMUSG00000021666	PF00679
ENSMUSG00000042372	PF00751
ENSMUSG00000042372	PF03474
ENSMUSG00000048138	PF00751
ENSMUSG00000022455	PF02893
ENSMUSG00000037957	PF00400
ENSMUSG00000020591	PF00001
ENSMUSG00000073247	PF04803
ENSMUSG00000024875	PF03878
ENSMUSG00000031344	PF02931
ENSMUSG00000031344	PF02932
ENSMUSG00000022453	PF17450
ENSMUSG00000022453	PF16499
ENSMUSG00000049687	PF00169
ENSMUSG00000025078	PF13905
ENSMUSG00000025078	PF01436
ENSMUSG00000073245	PF04803
ENSMUSG00000035283	PF00001
ENSMUSG00000022452	PF10161
ENSMUSG00000021244	PF13671
ENSMUSG00000024873	PF03311
ENSMUSG00000031347	PF13499
ENSMUSG00000034295	PF02181
ENSMUSG00000034295	PF18382
ENSMUSG00000056458	PF00069
ENSMUSG00000022672	PF00454
ENSMUSG00000022672	PF02259
ENSMUSG00000022672	PF08163
ENSMUSG00000022672	PF19704
ENSMUSG00000022672	PF02260
ENSMUSG00000024575	PF00233
ENSMUSG00000024575	PF01590
ENSMUSG00000021519	PF02536
ENSMUSG00000024870	PF00071
ENSMUSG00000073079	PF00448
ENSMUSG00000073079	PF02881
ENSMUSG00000073079	PF02978
ENSMUSG00000022487	PF05253
ENSMUSG00000022705	PF00001
ENSMUSG00000022671	PF12926
ENSMUSG00000031290	PF00307
ENSMUSG00000031290	PF13855
ENSMUSG00000095595	PF14774
ENSMUSG00000071637	PF07716
ENSMUSG00000022450	PF05347
ENSMUSG00000042320	PF05044
ENSMUSG00000004344	PF00255
ENSMUSG00000053508	PF05253
ENSMUSG00000033871	PF00076
ENSMUSG00000024862	PF13374
ENSMUSG00000024862	PF13424
ENSMUSG00000021271	PF15961
ENSMUSG00000004341	PF00255
ENSMUSG00000045508	PF13853
ENSMUSG00000022704	PF01702
ENSMUSG00000031226	PF04669
ENSMUSG00000061740	PF00067
ENSMUSG00000033632	PF15369
ENSMUSG00000021665	PF00728
ENSMUSG00000021665	PF14845
ENSMUSG00000068085	PF00067
ENSMUSG00000031349	PF01073
ENSMUSG00000036721	PF02023
ENSMUSG00000036721	PF00096
ENSMUSG00000031227	PF01454
ENSMUSG00000041773	PF07707
ENSMUSG00000041773	PF01344
ENSMUSG00000041773	PF00651
ENSMUSG00000112449	PF00448
ENSMUSG00000112449	PF02881
ENSMUSG00000112449	PF02978
ENSMUSG00000094103	PF14774
ENSMUSG00000024855	PF10254
ENSMUSG00000021518	PF03034
ENSMUSG00000031230	PF00167
ENSMUSG00000090641	PF00096
ENSMUSG00000090641	PF01352
ENSMUSG00000022971	PF01108
ENSMUSG00000022971	PF09294
ENSMUSG00000022488	PF09735
ENSMUSG00000069117	PF00416
ENSMUSG00000037106	PF08150
ENSMUSG00000037106	PF08151
ENSMUSG00000037106	PF16165
ENSMUSG00000037106	PF00168
ENSMUSG00000058883	PF00096
ENSMUSG00000058883	PF01352
ENSMUSG00000024268	PF00076
ENSMUSG00000024853	PF04037
ENSMUSG00000024853	PF04046
ENSMUSG00000094806	PF00067
ENSMUSG00000047658	PF06990
ENSMUSG00000021327	PF01352
ENSMUSG00000021327	PF02023
ENSMUSG00000021327	PF00096
ENSMUSG00000041974	PF14951
ENSMUSG00000041974	PF14950
ENSMUSG00000004789	PF00198
ENSMUSG00000004789	PF00364
ENSMUSG00000038498	PF00520
ENSMUSG00000093701	PF09294
ENSMUSG00000093701	PF01108
ENSMUSG00000024846	PF00031
ENSMUSG00000062373	PF10507
ENSMUSG00000074824	PF01352
ENSMUSG00000074824	PF00096
ENSMUSG00000021938	PF08075
ENSMUSG00000021938	PF00076
ENSMUSG00000037085	PF02475
ENSMUSG00000037075	PF13705
ENSMUSG00000037075	PF13639
ENSMUSG00000050424	PF14893
ENSMUSG00000041957	PF00514
ENSMUSG00000046287	PF14893
ENSMUSG00000055313	PF13843
ENSMUSG00000079108	PF02978
ENSMUSG00000079108	PF00448
ENSMUSG00000079108	PF02881
ENSMUSG00000022969	PF09294
ENSMUSG00000022969	PF01108
ENSMUSG00000057396	PF01352
ENSMUSG00000057396	PF13912
ENSMUSG00000057396	PF00096
ENSMUSG00000079845	PF04803
ENSMUSG00000022228	PF00096
ENSMUSG00000022228	PF02023
ENSMUSG00000087370	PF10190
ENSMUSG00000055639	PF02437
ENSMUSG00000058900	PF00096
ENSMUSG00000058900	PF01352
ENSMUSG00000060377	PF00935
ENSMUSG00000051037	PF16622
ENSMUSG00000051037	PF01352
ENSMUSG00000051037	PF00096
ENSMUSG00000022792	PF00579
ENSMUSG00000055480	PF01352
ENSMUSG00000055480	PF00096
ENSMUSG00000040123	PF06467
ENSMUSG00000055341	PF00096
ENSMUSG00000055341	PF01352
ENSMUSG00000036523	PF15782
ENSMUSG00000036304	PF01529
ENSMUSG00000033186	PF12554
ENSMUSG00000057842	PF01352
ENSMUSG00000057842	PF00096
ENSMUSG00000057842	PF13912
ENSMUSG00000021022	PF17958
ENSMUSG00000033628	PF00613
ENSMUSG00000033628	PF00454
ENSMUSG00000033628	PF00792
ENSMUSG00000058022	PF04750
ENSMUSG00000022967	PF09294
ENSMUSG00000022967	PF01108
ENSMUSG00000057455	PF00071
ENSMUSG00000019235	PF04212
ENSMUSG00000019235	PF00069
ENSMUSG00000098905	PF00096
