GO_terms	p-value	description
GO:0006366	9.726031927817114e-05	transcription by RNA polymerase II
GO:1901362	9.865067346537125e-05	organic cyclic compound biosynthetic process
GO:0030855	0.0001022763715261233	epithelial cell differentiation
GO:0007399	0.00010268194651886025	nervous system development
GO:0031667	0.00010588405303195105	response to nutrient levels
GO:0031331	0.00010880636419781224	positive regulation of cellular catabolic process
GO:0001933	0.00010894705817011537	negative regulation of protein phosphorylation
GO:0030336	0.00011378361646951646	negative regulation of cell migration
GO:0051223	0.00011595162230916922	regulation of protein transport
GO:0071496	0.00011870462948997632	cellular response to external stimulus
GO:0040017	0.00012661602385148464	positive regulation of locomotion
GO:1903311	0.00014368575346593464	regulation of mRNA metabolic process
GO:0043433	0.00015433748479245997	negative regulation of DNA-binding transcription factor activity
GO:0009991	0.00015512001337759527	response to extracellular stimulus
GO:0071456	0.00015610145249696445	cellular response to hypoxia
GO:2000146	0.00016116429693762026	negative regulation of cell motility
GO:0045765	0.0001688327770589352	regulation of angiogenesis
GO:0007423	0.00017880590164952333	sensory organ development
GO:0031346	0.000182148266076157	positive regulation of cell projection organization
GO:0010717	0.0001936138714802356	regulation of epithelial to mesenchymal transition
GO:1903573	0.00019408012358589942	negative regulation of response to endoplasmic reticulum stress
GO:0006473	0.0002001833458655561	protein acetylation
GO:0050896	0.0002043343893289068	response to stimulus
GO:0071375	0.00020478869739299773	cellular response to peptide hormone stimulus
GO:0018193	0.0002088823451458398	peptidyl-amino acid modification
GO:0034330	0.00022295036739032657	cell junction organization
GO:0001525	0.00023614602490736283	angiogenesis
GO:1901342	0.0002484369052311933	regulation of vasculature development
GO:0022409	0.0002484369052311933	positive regulation of cell-cell adhesion
GO:0051099	0.000249199055645439	positive regulation of binding
GO:0051216	0.0002578707285895332	cartilage development
GO:0042592	0.000305465605711725	homeostatic process
GO:0035239	0.0003161065579026239	tube morphogenesis
GO:0032870	0.0003305120635203031	cellular response to hormone stimulus
GO:0032922	0.0003752536639619981	circadian regulation of gene expression
GO:0009314	0.00038367042137564365	response to radiation
GO:0031330	0.000439403780371613	negative regulation of cellular catabolic process
GO:0010656	0.0004837824658548323	negative regulation of muscle cell apoptotic process
GO:0050821	0.0004889191891365048	protein stabilization
GO:0070201	0.0004941894009895644	regulation of establishment of protein localization
GO:0007507	0.0005093283929831909	heart development
GO:0042176	0.0005824484837427603	regulation of protein catabolic process
GO:0022604	0.0005871889446905389	regulation of cell morphogenesis
GO:0071453	0.0006043795875778781	cellular response to oxygen levels
GO:0018205	0.0006129991817164702	peptidyl-lysine modification
GO:0007420	0.0006823511633707866	brain development
GO:0002009	0.0006897754375675581	morphogenesis of an epithelium
GO:0043543	0.0007052650445812137	protein acylation
GO:0031396	0.0007579000184962589	regulation of protein ubiquitination
GO:0110020	0.000767803618745008	regulation of actomyosin structure organization
GO:0033993	0.0008025694758610507	response to lipid
GO:0006974	0.0008073730787766045	cellular response to DNA damage stimulus
GO:0036294	0.0008127409697697747	cellular response to decreased oxygen levels
GO:0051222	0.0008253499900930962	positive regulation of protein transport
GO:0048705	0.00083521239914078	skeletal system morphogenesis
GO:0043547	0.0008369951863247167	positive regulation of GTPase activity
GO:1903037	0.0008859239633603675	regulation of leukocyte cell-cell adhesion
GO:0042060	0.0009133081222493451	wound healing
GO:0035295	0.0009530552183542723	tube development
GO:0051896	0.0009579682986938891	regulation of protein kinase B signaling
GO:0030968	0.0010241238274046611	endoplasmic reticulum unfolded protein response
GO:0006468	0.00106008353237832	protein phosphorylation
GO:0030097	0.001194229450163281	hemopoiesis
GO:0035264	0.0012256160379204458	multicellular organism growth
GO:0120039	0.001274646766353328	plasma membrane bounded cell projection morphogenesis
GO:0001667	0.001274790480011558	ameboidal-type cell migration
GO:0016573	0.0013271926811951455	histone acetylation
GO:0007623	0.0013979715123120919	circadian rhythm
GO:0090092	0.0014728467709316131	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
GO:0051101	0.0015434485762731846	regulation of DNA binding
GO:0009266	0.0015505851304562317	response to temperature stimulus
GO:0010506	0.0016926430484239953	regulation of autophagy
GO:0001763	0.0017520949535256534	morphogenesis of a branching structure
GO:2000630	0.0017683744660820363	positive regulation of miRNA metabolic process
GO:0022402	0.0018338739592099734	cell cycle process
GO:0035148	0.0018476446099836318	tube formation
GO:0051147	0.0018544078018068958	regulation of muscle cell differentiation
GO:0030099	0.002027037659958628	myeloid cell differentiation
GO:0010562	0.002087742362152743	positive regulation of phosphorus metabolic process
GO:0045937	0.002087742362152743	positive regulation of phosphate metabolic process
GO:0060070	0.0021989376663430686	canonical Wnt signaling pathway
GO:0007165	0.0022854445970740453	signal transduction
GO:0002521	0.0023232953043668845	leukocyte differentiation
GO:0002694	0.0024137895466761535	regulation of leukocyte activation
GO:0048858	0.0024518797533552377	cell projection morphogenesis
GO:0070555	0.002471830052652165	response to interleukin-1
GO:0046620	0.002471830052652165	regulation of organ growth
GO:0010564	0.0025959525926574894	regulation of cell cycle process
GO:0001503	0.0028077458517644528	ossification
GO:0042327	0.0028130994801789295	positive regulation of phosphorylation
GO:0043523	0.0028620116565039344	regulation of neuron apoptotic process
GO:0071702	0.0028672402386653714	organic substance transport
GO:0044271	0.002887528539556411	cellular nitrogen compound biosynthetic process
GO:0070507	0.00315893018957085	regulation of microtubule cytoskeleton organization
GO:0050767	0.003178637175565856	regulation of neurogenesis
GO:1903844	0.0032038696697948015	regulation of cellular response to transforming growth factor beta stimulus
GO:1902895	0.0033331206736915554	positive regulation of miRNA transcription
GO:0051052	0.003350077480542001	regulation of DNA metabolic process
GO:0040013	0.003369237548485987	negative regulation of locomotion
GO:0006793	0.0035302231231722223	phosphorus metabolic process
GO:1904951	0.0035748222706711453	positive regulation of establishment of protein localization
GO:0090630	0.003731629041103154	activation of GTPase activity
GO:0003002	0.0037729706784829058	regionalization
GO:0048660	0.0038071392190412215	regulation of smooth muscle cell proliferation
GO:0045599	0.003819295754128969	negative regulation of fat cell differentiation
GO:0033365	0.003954043776733242	protein localization to organelle
GO:0006796	0.004025201328920313	phosphate-containing compound metabolic process
GO:0030856	0.004091815046224487	regulation of epithelial cell differentiation
GO:0010629	0.00418624955683968	negative regulation of gene expression
GO:0051153	0.004428799760606111	regulation of striated muscle cell differentiation
GO:0045859	0.004541237422427985	regulation of protein kinase activity
GO:0043086	0.004555207396484758	negative regulation of catalytic activity
GO:0043620	0.004625704457536433	regulation of DNA-templated transcription in response to stress
GO:0045667	0.00481066425700807	regulation of osteoblast differentiation
GO:0035914	0.004877515421635549	skeletal muscle cell differentiation
GO:0045732	0.005402917145404645	positive regulation of protein catabolic process
GO:0097190	0.005566367879649786	apoptotic signaling pathway
GO:0045862	0.005566918307016469	positive regulation of proteolysis
GO:1903039	0.005634675311945475	positive regulation of leukocyte cell-cell adhesion
GO:0030182	0.0059073356003115085	neuron differentiation
GO:1902107	0.0060207401022046355	positive regulation of leukocyte differentiation
GO:1903708	0.0060207401022046355	positive regulation of hemopoiesis
GO:0051050	0.006126256324818704	positive regulation of transport
GO:0060021	0.006224985396873781	roof of mouth development
GO:0030162	0.0062281533378320975	regulation of proteolysis
GO:0002683	0.006347104792197208	negative regulation of immune system process
GO:0031668	0.006356698622937333	cellular response to extracellular stimulus
GO:0048812	0.006356698622937333	neuron projection morphogenesis
GO:0016055	0.006356698622937333	Wnt signaling pathway
GO:0071900	0.006374667222323747	regulation of protein serine/threonine kinase activity
GO:0048545	0.006786526204601581	response to steroid hormone
GO:2000112	0.007301133198226217	regulation of cellular macromolecule biosynthetic process
GO:0031175	0.007317071187618015	neuron projection development
GO:0061138	0.007651253995739665	morphogenesis of a branching epithelium
GO:2001234	0.008331750828413599	negative regulation of apoptotic signaling pathway
GO:0017015	0.008464830896294418	regulation of transforming growth factor beta receptor signaling pathway
GO:0050863	0.008688440309361226	regulation of T cell activation
GO:0010975	0.009084843176023247	regulation of neuron projection development
GO:0008360	0.009155501826051432	regulation of cell shape
GO:0050679	0.009604923380879718	positive regulation of epithelial cell proliferation
GO:0016310	0.009613384382849893	phosphorylation
GO:0042026	0.009639691987167829	protein refolding
GO:0043227	9.574322298265374e-126	membrane-bounded organelle
GO:0043231	5.403093206937897e-122	intracellular membrane-bounded organelle
GO:0043226	1.4639258692044242e-104	organelle
GO:0043229	8.728346522051505e-104	intracellular organelle
GO:0005634	3.119805864087049e-88	nucleus
GO:0110165	7.51555450636109e-77	cellular anatomical entity
GO:0005737	1.1896515966141158e-63	cytoplasm
GO:0005654	8.562726170407783e-52	nucleoplasm
GO:0005829	5.225070130821779e-50	cytosol
GO:0005856	1.7795042244083176e-20	cytoskeleton
GO:0042995	4.046147201706565e-18	cell projection
GO:0030054	1.1643515326683545e-17	cell junction
GO:0000785	1.4699330513296085e-17	chromatin
GO:0120025	7.080990984098066e-17	plasma membrane bounded cell projection
GO:0005667	7.769190300471708e-15	transcription regulator complex
GO:0043005	1.9647519398034265e-13	neuron projection
GO:0016604	3.824252493200563e-13	nuclear body
GO:0070161	4.59128960869337e-11	anchoring junction
GO:0031410	6.508103448842934e-11	cytoplasmic vesicle
GO:0097708	6.89921036716777e-11	intracellular vesicle
GO:0031982	5.499605778945945e-10	vesicle
GO:0005925	5.7541707106966334e-08	focal adhesion
GO:0032991	8.328552471296495e-08	protein-containing complex
GO:0030425	1.2692187591932072e-07	dendrite
GO:0098794	1.4367877131364303e-07	postsynapse
GO:0099080	1.6165021709608209e-07	supramolecular complex
GO:0005874	1.8740960538636665e-07	microtubule
GO:0090575	2.800235928843753e-07	RNA polymerase II transcription regulator complex
GO:0030055	3.3074178381150983e-07	cell-substrate junction
GO:0062023	4.697076938209089e-07	collagen-containing extracellular matrix
GO:0099081	5.319039462618149e-07	supramolecular polymer
GO:0099512	5.319039462618149e-07	supramolecular fiber
GO:0099513	6.126272928215095e-07	polymeric cytoskeletal fiber
GO:0005783	1.8392201632960311e-06	endoplasmic reticulum
GO:0045202	3.035817424315054e-06	synapse
GO:0016607	1.019672861708481e-05	nuclear speck
GO:0005768	1.0676054235512033e-05	endosome
GO:0005583	1.1034246176013591e-05	fibrillar collagen trimer
GO:0099572	2.3495009446685582e-05	postsynaptic specialization
GO:1902494	3.6675599837437333e-05	catalytic complex
GO:0014069	4.8399129421113964e-05	postsynaptic density
GO:0031090	6.841315676850608e-05	organelle membrane
GO:0015629	0.0001851988887053244	actin cytoskeleton
GO:0030424	0.00023905683771303988	axon
GO:0043197	0.00028217039026459705	dendritic spine
GO:0070603	0.0003873284695145277	SWI/SNF superfamily-type complex
GO:0044309	0.000517929609373583	neuron spine
GO:0005815	0.0005324745305723919	microtubule organizing center
GO:0042641	0.0007097519651976199	actomyosin
GO:1904949	0.0008631516619427735	ATPase complex
GO:0005581	0.0011678526194007035	collagen trimer
GO:0043025	0.0013659860141296083	neuronal cell body
GO:0048471	0.0014682403336497086	perinuclear region of cytoplasm
GO:0031012	0.001509601007568456	extracellular matrix
GO:0030312	0.0016834756649576842	external encapsulating structure
