YBR024W	PF02630
YBR074W	PF04389
YDL195W	PF00400
YDL195W	PF07304
YDL195W	PF11549
YDL195W	PF12931
YDR007W	PF00697
YLR059C	PF00929
YML130C	PF04137
YBR223C	PF06087
YER019W	PF03372
YIL069C	PF01282
YLR440C	PF08314
YER042W	PF01625
YBL069W	PF08240
YBL069W	PF13602
YML116W	PF07690
YHR058C	PF04934
YMR265C	PF10307
YPL109C	PF03109
YPL204W	PF00069
YOR047C	PF17235
YLR222C	PF00400
YLR222C	PF08625
YPR183W	PF00535
YER077C	PF13041
YDR348C	PF08316
YGR295C	PF00674
YER039C	PF00892
YPL230W	PF13465
YFL007W	PF11919
YFL007W	PF16507
YFL007W	PF16547
YLR371W	PF00610
YLR371W	PF00621
YLR371W	PF00780
YLR371W	PF15405
YMR061W	PF05843
YPL159C	PF08692
YMR166C	PF00153
YHR142W	PF12271
YJR111C	PF02627
YPL152W	PF03095
YJR113C	PF00177
YEL020W-A	PF02953
YLR116W	PF00013
YLR116W	PF00098
YLR116W	PF16275
YLR013W	PF00320
YBR125C	PF00481
YPL216W	PF02791
YPL216W	PF10537
YPL216W	PF15613
YOR290C	PF00176
YOR290C	PF00271
YOR290C	PF00439
YOR290C	PF07529
YOR290C	PF08880
YOR290C	PF14619
YEL012W	PF00179
YLR179C	PF01161
YDR297W	PF04116
YBR191W	PF01157
YKL060C	PF01116
YDL215C	PF00208
YJL205C	PF11654
YGL133W	PF02791
YGL133W	PF10537
YGL133W	PF15613
YIL061C	PF00076
YIL061C	PF12220
YGR078C	PF02996
YLR417W	PF04157
YLR417W	PF11605
YLR417W	PF16988
YPL082C	PF00176
YPL082C	PF00271
YPL082C	PF12054
YMR101C	PF01255
YBR299W	PF00128
YDL088C	PF05172
YKR034W	PF00320
YOR005C	PF00533
YOR005C	PF01068
YOR005C	PF04675
YCR081W	PF09497
YHR143W-A	PF03604
YMR296C	PF00155
YDR039C	PF00122
YDR039C	PF00689
YDR039C	PF00690
YDR039C	PF00702
YDR039C	PF13246
YFL027C	PF00566
YBR219C	PF13000
YBL032W	PF00013
YER184C	PF00172
YER184C	PF04082
YBR114W	PF00097
YBR114W	PF00176
YBR114W	PF00271
YBR267W	PF12756
YIL009C-A	PF10341
YDR075W	PF00149
YER060W-A	PF02133
YNL135C	PF00254
YPR107C	PF00642
YOL001W	PF08613
YNL032W	PF03162
YOR187W	PF00009
YOR187W	PF03143
YOR187W	PF03144
YMR127C	PF01853
YMR127C	PF17772
YDR156W	PF08203
YDR167W	PF03540
YLL065W	PF04318
YGR281W	PF00005
YGR281W	PF00664
YPL146C	PF07767
YGL148W	PF01264
YPR133W-A	PF10642
YAL044C	PF01597
YOR151C	PF00562
YOR151C	PF04560
YOR151C	PF04561
YOR151C	PF04563
YOR151C	PF04565
YOR151C	PF04566
YOR151C	PF04567
YJL003W	PF14138
YEL058W	PF00408
YEL058W	PF02878
YNL325C	PF02383
YLR369W	PF00012
YGL004C	PF00400
YJL196C	PF01151
YPR015C	PF00096
YHL013C	PF02338
YER165W	PF00076
YER165W	PF00658
YIL089W	PF15701
YNL062C	PF04189
YML059C	PF00027
YML059C	PF01734
YML086C	PF01565
YML086C	PF04030
YPL036W	PF00122
YPL036W	PF00690
YPL036W	PF00702
YBL061C	PF08238
YIL166C	PF07690
YHR216W	PF00478
YHR216W	PF00571
YJR162C	PF04318
YMR186W	PF00183
YMR186W	PF02518
YMR169C	PF00171
YJL098W	PF04499
YOR396W	PF00270
YOR396W	PF00271
YOR396W	PF11603
YLR332W	PF04478
YOL066C	PF00849
YOL066C	PF18785
YNL247W	PF01406
YPR102C	PF00281
YPR102C	PF00673
YBR287W	PF03547
YHR071W	PF00134
YIL095W	PF00069
YHR107C	PF00735
YOL166W-A	PF04318
YLR050C	PF05241
YCR010C	PF01184
YNL161W	PF00069
YMR306W	PF02364
YMR306W	PF14288
YGL128C	PF00226
YPR048W	PF00175
YPR048W	PF00258
YPR048W	PF00667
YLR345W	PF00300
YLR345W	PF01591
YPR140W	PF01553
Q0045	PF00115
YKL058W	PF02268
YKL058W	PF02751
YGL030W	PF01248
YHR209W	PF08241
YJL082W	PF10300
YKR017C	PF00097
YKR017C	PF01485
YKR017C	PF19422
YER126C	PF01201
YGL033W	PF07106
YKL046C	PF03663
YGR165W	PF12298
YML103C	PF10487
YML103C	PF18378
YGR193C	PF00364
YGR193C	PF02817
YLR439W	PF06984
YKL001C	PF01583
YKL078W	PF00270
YKL078W	PF00271
YKL078W	PF04408
YKL078W	PF07717
YJL062W	PF01663
YJL062W	PF19316
YPL245W	PF09848
YNL106C	PF02383
YNL106C	PF03372
YNL204C	PF01412
YDR211W	PF00132
YDR211W	PF00483
YDR211W	PF02020
YDL109C	PF05057
YIL111W	PF02936
YOR117W	PF00004
YOR117W	PF16450
YOR117W	PF17862
YOR074C	PF00303
YPL170W	PF00173
YHR072W	PF13243
YHR072W	PF13249
YOR077W	PF10357
YOR077W	PF12171
YAL043C	PF11935
YPL115C	PF00169
YPL115C	PF00620
YPL115C	PF00787
YBR268W	PF08561
YJR022W	PF01423
YER025W	PF00009
YER025W	PF03144
YER025W	PF09173
YPL226W	PF00005
YPL226W	PF00385
YLR348C	PF00153
YNL320W	PF12146
YEL070W	PF01232
YEL070W	PF08125
YMR034C	PF13593
YJL178C	PF09451
YMR310C	PF02598
YBR286W	PF02225
YBR286W	PF04389
YCR023C	PF07690
YLR057W	PF01532
YIL024C	PF16561
YJL141C	PF00069
YPR192W	PF00230
YOR304W	PF00176
YOR304W	PF00271
YOR304W	PF09110
YOR304W	PF09111
YLR009W	PF01246
YEL048C	PF04628
YLL024C	PF00012
YNL141W	PF00962
YML034W	PF09402
YML034W	PF12949
YDR202C	PF10259
YBL091C-A	PF00635
YER099C	PF13793
YER099C	PF14572
YGL002W	PF01105
YMR131C	PF00400
YMR131C	PF12265
YLL048C	PF00005
YLL048C	PF00664
YPL150W	PF00069
YCL067C	PF00046
YMR263W	PF13867
YOR289W	PF01871
YCL025C	PF00324
YDL132W	PF00888
YDL132W	PF10557
YKL186C	PF10429
YCL043C	PF00085
YCL043C	PF13848
YOL100W	PF00069
YOR337W	PF00172
YOR337W	PF04082
YDR534C	PF17357
YLR157C	PF00710
YLR157C	PF17763
YGL039W	PF01370
YCR012W	PF00162
YOL086W-A	PF15630
YHR049W	PF03959
YMR113W	PF08245
YPL055C	PF11488
YBR213W	PF13241
YBR213W	PF14823
YBR213W	PF14824
YCR075C	PF04193
YDR392W	PF02269
YAL051W	PF00172
YPL079W	PF01157
YDR178W	PF05328
YJL013C	PF08171
YJL013C	PF08311
Q0060	PF00115
Q0060	PF00961
YJL109C	PF08146
YJL109C	PF12397
YJR155W	PF00248
YDR435C	PF04072
YDR461W	PF17317
YHR111W	PF00581
YHR111W	PF00899
YKL003C	PF01250
YMR314W	PF00227
YMR314W	PF10584
YLR070C	PF00107
YLR070C	PF08240
YBR183W	PF05875
YER026C	PF01066
YDL017W	PF00069
YCR093W	PF04054
YCR093W	PF12842
YCR093W	PF16415
YCR093W	PF16417
YCR093W	PF16418
YCR093W	PF16419
YML051W	PF01408
YLL002W	PF08214
YIL090W	PF08426
YBR050C	PF08550
YMR081C	PF17058
YBL097W	PF05786
YJL049W	PF03357
YMR231W	PF12451
YBR172C	PF02213
YDR260C	PF05839
YKL165C	PF00884
YKL165C	PF04987
YPR175W	PF04042
YDR210W	PF12734
YNL024C	PF10294
YLR305C	PF00454
YLR305C	PF00613
YLR305C	PF19274
YNR024W	PF10175
YDL130W-A	PF04568
YPR022C	PF04082
YLR139C	PF14611
YKL085W	PF00056
YKL085W	PF02866
YGR017W	PF12766
YDR322C-A	PF05680
YOL123W	PF00076
YCR026C	PF01663
YHR205W	PF00069
YHR205W	PF00168
YHR205W	PF00433
YLR038C	PF02297
YCR044C	PF04080
YLR182W	PF13606
YLR182W	PF18530
YJL191W	PF00411
YDR139C	PF00240
YGL019W	PF01214
YHR183W	PF00393
YHR183W	PF03446
YLR132C	PF09749
YLR064W	PF03661
YER174C	PF00085
YER174C	PF00462
YDL043C	PF12874
YDL043C	PF16835
YFR031C	PF02463
YFR031C	PF06470
YGL231C	PF06417
YOR195W	PF12709
YML107C	PF07967
YDL093W	PF02366
YDL093W	PF02815
YDL093W	PF16192
YNR035C	PF04045
YGL027C	PF03200
YGL027C	PF16923
YBR208C	PF00289
YBR208C	PF00364
YBR208C	PF01425
YBR208C	PF02626
YBR208C	PF02682
YBR208C	PF02785
YBR208C	PF02786
YBL020W	PF04506
YGR129W	PF08231
YKR060W	PF00687
YNR061C	PF01284
YJR141W	PF09814
YBR164C	PF00025
YGR140W	PF12550
YGR140W	PF16787
YOR305W	PF10356
YGL126W	PF10261
YGR088W	PF00199
YGR088W	PF06628
YBR112C	PF00515
YBR112C	PF13432
YCR047C	PF08241
YCR047C	PF12589
YCR067C	PF00400
YHR187W	PF10483
YHR005C	PF00503
YCL050C	PF09830
YCL050C	PF19327
YDR333C	PF04910
YKL045W	PF04104
YBL019W	PF03372
YBL019W	PF06839
YKL043W	PF04383
YPL110C	PF03009
YPL110C	PF03105
YPL110C	PF12796
YDR527W	PF08620
YDR527W	PF08621
YGL172W	PF13634
YER112W	PF01423
YHR079C-A	PF07061
YPR114W	PF03798
YKR065C	PF08566
YJR054W	PF16944
YPL050C	PF03452
YGL139W	PF06011
YGL139W	PF14558
YHR010W	PF01777
YBR088C	PF00705
YBR088C	PF02747
YML067C	PF07970
YML067C	PF13850
YDR020C	PF00485
YIR036C	PF00106
YDR030C	PF00400
YPL274W	PF00324
YMR049C	PF00400
YMR049C	PF08145
YGL258W	PF10339
YBR055C	PF06424
YJL094C	PF00999
YGR225W	PF00400
YMR038C	PF00403
YFR033C	PF02320
YMR062C	PF01960
YCL014W	PF12015
YJL166W	PF02939
YJL214W	PF00083
YNL274C	PF00389
YNL274C	PF02826
YJL126W	PF00795
YOR205C	PF01926
YJR097W	PF00226
YJR097W	PF05207
YPR097W	PF00787
YPR097W	PF12825
YPR097W	PF12828
YMR323W	PF00113
YMR323W	PF03952
YJR070C	PF13646
YDL179W	PF00134
YDL102W	PF00136
YDL102W	PF03104
YDL102W	PF14260
YMR234W	PF00075
YMR234W	PF01693
YLR454W	PF10293
YLR454W	PF10305
YLR454W	PF10344
YLR454W	PF10347
YLR454W	PF10351
YLR454W	PF10359
YLR212C	PF00091
YLR212C	PF03953
YPL011C	PF07524
YJL105W	PF00628
YJL105W	PF00856
YDR182W	PF00149
YBL071W-A	PF05207
YBR269C	PF07896
YLR451W	PF00172
YHR089C	PF04410
YGR135W	PF00227
YGR135W	PF10584
YER041W	PF00867
YDR006C	PF05794
YCL017C	PF00266
YGR070W	PF00621
YGR070W	PF00780
YGR070W	PF15405
YOR136W	PF00180
YER074W-A	PF08571
YPR081C	PF00587
YPR081C	PF03129
YDR498C	PF03908
YJR104C	PF00080
YLR147C	PF01423
YDL224C	PF00076
YHR162W	PF03650
YGR229C	PF09346
YLR005W	PF04056
YLR005W	PF07975
YDR082W	PF10451
YDR082W	PF12659
YJL124C	PF01423
YDR216W	PF00096
YCR068W	PF01764
YNL083W	PF00153
YNL083W	PF13202
YNL083W	PF13499
YKL106W	PF00155
YLR115W	PF13299
YLR115W	PF16661
YDR325W	PF12719
YHL050C	PF00270
YJL053W	PF03643
YDR372C	PF05719
YGR173W	PF01926
YGR173W	PF02824
YGR173W	PF16897
YAR042W	PF00169
YAR042W	PF01237
YAR042W	PF13637
YPL273W	PF02574
YDL222C	PF06687
YIL087C	PF10315
YNR027W	PF08543
YCR095C	PF03162
YER162C	PF03835
YER162C	PF10403
YER162C	PF10405
YER090W	PF00425
YER090W	PF04715
YFL025C	PF07819
YLR208W	PF00400
YHR030C	PF00069
YDR395W	PF03810
YDR395W	PF08506
YMR282C	PF12921
YMR056C	PF00153
YPL203W	PF00069
YIL041W	PF10455
YDL210W	PF13520
YLR149C	PF10313
YDR132C	PF02214
YBR015C	PF11051
YER156C	PF03690
YLL039C	PF00240
YPL214C	PF02110
YPL214C	PF02581
YFR025C	PF02811
YGL245W	PF00749
YGL245W	PF03950
YDR464W	PF11223
YBR037C	PF02630
YAL068C	PF00660
YFL063W	PF04318
YGL141W	PF00632
YGL251C	PF00270
YGL251C	PF00271
YGL251C	PF02889
YPR091C	PF00169
YPR091C	PF10296
YJL116C	PF03856
YDR341C	PF00750
YDR341C	PF03485
YDR341C	PF05746
YKL012W	PF00397
YKL012W	PF01846
YBL078C	PF02991
YGR234W	PF00042
YGR234W	PF00970
YPL117C	PF00293
YPL120W	PF04111
YPL120W	PF17675
YMR153W	PF05172
YGR267C	PF01227
YHR193C	PF01849
YHR193C	PF19026
YPL048W	PF00043
YPL048W	PF00647
YPL048W	PF02798
YNL132W	PF05127
YNL132W	PF08351
YNL132W	PF13718
YNL132W	PF13725
YOL080C	PF00929
YDR444W	PF05057
YPL083C	PF12928
YGR271C-A	PF10153
YDR419W	PF00817
YDR419W	PF11799
YIR009W	PF13893
YOR254C	PF00226
YCL066W	PF04769
YKR020W	PF08700
YIL033C	PF00027
YIL033C	PF02197
YJL115W	PF04729
YPR041W	PF01873
YPR041W	PF02020
YIR010W	PF08202
YOR147W	PF08118
YGL101W	PF13023
YNL172W	PF12859
YGL053W	PF00674
YKL042W	PF11544
YGR253C	PF00227
YGR253C	PF10584
YHR159W	PF17084
YHR199C	PF16035
YBR185C	PF07961
YDR423C	PF00170
YDR423C	PF08601
YJL035C	PF00383
YOL093W	PF01746
YDR017C	PF03770
YIL036W	PF00170
YJR089W	PF00653
YPL124W	PF17082
YLR354C	PF00923
YDR005C	PF09174
YJR107W	PF01764
YLR422W	PF06920
YDR098C	PF00085
YDR098C	PF00462
YKR030W	PF05216
YPL232W	PF00804
YPL232W	PF05739
YCR099C	PF15901
YGL135W	PF00687
YDR280W	PF01138
YDR280W	PF03725
YJL154C	PF03635
YIL113W	PF00782
YLR387C	PF12756
YDR328C	PF01466
YDR328C	PF03931
YJL155C	PF00300
YJL155C	PF01591
YOR109W	PF02383
YOR109W	PF03372
YLR386W	PF11916
YLR386W	PF12755
YDR185C	PF04707
YHR129C	PF00022
YNR010W	PF07544
YIR007W	PF00150
YIR007W	PF18564
YJL004C	PF09801
YDL042C	PF02146
YDL042C	PF04574
YPL095C	PF00561
YIR035C	PF00106
YKL159C	PF04847
YPR127W	PF00248
YFR037C	PF00249
YFR037C	PF00569
YFR037C	PF04433
YFR037C	PF16495
YKL161C	PF00069
YLR061W	PF01776
YNL330C	PF00850
YHL011C	PF13793
YHL011C	PF14572
YIL114C	PF01459
YPL243W	PF16969
YDR541C	PF01370
YNL016W	PF00076
YEL009C	PF07716
YNL316C	PF00800
YNR003C	PF05158
YLR380W	PF00650
YLR380W	PF03765
YNL113W	PF13656
YKL079W	PF00225
YDL240W	PF00412
YDL240W	PF00620
YJR102C	PF05871
YKR095W-A	PF09341
YPR138C	PF00909
YGL221C	PF01784
YOR028C	PF00170
YBR186W	PF00004
YOR080W	PF00560
YOR080W	PF00646
YBL006C	PF08586
YER036C	PF00005
YER036C	PF12848
YLR442C	PF01426
YLR442C	PF17872
YLR024C	PF02207
YLR024C	PF18995
YLR326W	PF13430
YIL013C	PF00005
YIL013C	PF01061
YIL013C	PF06422
YIL013C	PF19055
YJR015W	PF12051
YLR396C	PF00995
YEL056W	PF00400
YEL056W	PF12265
YER140W	PF05346
YNL298W	PF00069
YNL298W	PF00169
YNL298W	PF00786
YPR055W	PF04048
YOL126C	PF00056
YOL126C	PF02866
YPL206C	PF03009
YIR006C	PF08226
YIR006C	PF12763
YGL205W	PF01756
YGL205W	PF02770
YGL205W	PF14749
YOL121C	PF01090
YLR183C	PF00498
YIL145C	PF02569
YNL139C	PF11262
YNL139C	PF11732
YNL139C	PF16134
YBR274W	PF00069
YJL071W	PF04768
YLL028W	PF07690
YGR189C	PF00722
YHR152W	PF05032
YPL283C	PF00270
YPL283C	PF00271
YPL283C	PF11603
YJR118C	PF10311
YLR130C	PF02535
YPL268W	PF00387
YPL268W	PF00388
YPL268W	PF09279
YGR185C	PF00579
YOR016C	PF01105
YHR039C	PF00171
YPL021W	PF00320
YNL047C	PF00169
YDR122W	PF00069
YDR122W	PF02149
YBR235W	PF00324
YBR235W	PF03522
YHR114W	PF00018
YHR114W	PF00611
YHR114W	PF14604
YLR306W	PF00179
YDR054C	PF00179
YOR138C	PF00627
YLR351C	PF00795
YMR032W	PF00611
YMR228W	PF00398
YLR242C	PF04161
YJR123W	PF00177
YOL068C	PF02146
YOL068C	PF04574
YNL282W	PF08228
YMR146C	PF00400
YCR084C	PF00400
YCR084C	PF08581
YNL096C	PF01251
YBR046C	PF00107
YBR046C	PF08240
YER059W	PF08613
YLR265C	PF09302
YEL061C	PF00225
YOR165W	PF05879
YIL148W	PF00240
YIL148W	PF01020
YAL041W	PF00621
YAL041W	PF06395
YAL041W	PF15411
YDR424C	PF01221
YDR194C	PF00270
YDR194C	PF00271
YBR108W	PF17096
YAL044W-A	PF01722
YOL023W	PF00009
YOL023W	PF04760
YOL023W	PF11987
YPL046C	PF03931
YDR141C	PF04118
YDR288W	PF01454
YBR194W	PF12622
YGR201C	PF00043
YGR201C	PF02798
YCR090C	PF05907
YLR461W	PF00660
YJR148W	PF01063
YJL123C	PF10310
YHR218W	PF00270
YMR247C	PF13639
YOL086C	PF00107
YOL086C	PF08240
YNL287W	PF01602
YNL287W	PF08752
YNL287W	PF16381
YLL064C	PF00660
YMR152W	PF13602
YEL051W	PF01813
YNL095C	PF03547
YOL028C	PF00170
YOL028C	PF10297
YMR267W	PF00719
YFL001W	PF01416
YMR230W	PF03501
YCL073C	PF07690
YGR056W	PF00439
YGR056W	PF01426
YDR051C	PF00300
YNR060W	PF01794
YNR060W	PF08022
YNR060W	PF08030
YDR353W	PF07992
YKL089W	PF11699
YKL089W	PF15624
YBR018C	PF01087
YBR018C	PF02744
YEL063C	PF00324
YHR053C	PF11403
YPR010C	PF00562
YPR010C	PF04560
YPR010C	PF04561
YPR010C	PF04563
YPR010C	PF04565
YPR010C	PF06883
YLR199C	PF10450
YDR021W	PF00270
YDR021W	PF00271
YPR079W	PF13015
YDL194W	PF00083
YDR049W	PF18826
YMR039C	PF02229
YKL026C	PF00255
YMR128W	PF00270
YMR128W	PF00271
YMR128W	PF04408
YMR128W	PF07717
YIL177C	PF00271
YIL177C	PF11603
YGL238W	PF03378
YGL238W	PF03810
YGL238W	PF08506
YPR095C	PF01369
YPL016W	PF01388
YJL041W	PF05064
YER074W	PF01282
YGL234W	PF00586
YGL234W	PF01071
YGL234W	PF02769
YGL234W	PF02843
YGL234W	PF02844
YJL033W	PF00270
YJL033W	PF00271
YJL033W	PF13959
YNL339C	PF00270
YNL339C	PF00271
YNL339C	PF11603
YOL133W	PF12678
YDR388W	PF00018
YDR388W	PF03114
YPL260W	PF10303
YHR200W	PF13519
YMR188C	PF00366
YGR264C	PF09334
YGR264C	PF09635
YGR264C	PF19303
YHR069C	PF14382
YHR069C	PF15985
YDR233C	PF02453
YNR063W	PF00172
YNR063W	PF04082
YOL018C	PF05739
YEL013W	PF00514
YJL091C	PF06423
YOR045W	PF17112
YER087C-B	PF03911
YHR041C	PF08612
YER056C	PF02133
YBR095C	PF08595
YHL049C	PF11603
YBL011W	PF01553
YDL137W	PF00025
YMR102C	PF00400
YCL061C	PF09444
YBL102W	PF04178
YOR065W	PF02167
YGL164C	PF05508
YJL045W	PF00890
YJL045W	PF02910
YOR201C	PF00588
YOR201C	PF08032
YBL105C	PF00069
YBL105C	PF00130
YBL105C	PF00168
YBL105C	PF00433
YBL105C	PF02185
YKL164C	PF00399
YLR462W	PF11603
YPR098C	PF13664
YDR490C	PF00069
YDR516C	PF00349
YDR516C	PF03727
YKR096W	PF13638
YIL173W	PF15901
YIL173W	PF15902
YMR171C	PF00622
YJL069C	PF00400
YNR037C	PF00203
YEL022W	PF01369
YEL022W	PF12783
YKL054C	PF02845
YBL090W	PF01165
YDR347W	PF02777
YFR032C	PF00076
YJL130C	PF00117
YJL130C	PF00185
YJL130C	PF00988
YJL130C	PF02142
YJL130C	PF02729
YJL130C	PF02786
YJL130C	PF02787
YMR090W	PF13460
YHR042W	PF00175
YHR042W	PF00258
YHR042W	PF00667
YGL124C	PF19036
YGL124C	PF19037
YGL124C	PF19038
YGR235C	PF09769
YLR148W	PF00637
YLR148W	PF05131
YOR073W	PF07557
YOR073W	PF07558
YER148W	PF00352
YML124C	PF00091
YML124C	PF03953
YDR452W	PF00149
YGR254W	PF00113
YGR254W	PF03952
YER188C-A	PF04318
YLR243W	PF03029
YMR293C	PF01425
YJL218W	PF12464
YJL218W	PF14602
YDR437W	PF08510
YAR015W	PF01259
YJL057C	PF00069
YDR529C	PF02271
YER086W	PF00291
YER086W	PF00585
YOR003W	PF00082
YOR003W	PF05922
YOR051C	PF12753
YNL081C	PF00416
YGL031C	PF01246
YGL085W	PF00565
