GO_terms	p-value	description
GO:0006355	0.0010514765603308071	regulation of DNA-templated transcription
GO:1903506	0.0010653612266062714	regulation of nucleic acid-templated transcription
GO:1902532	0.0010772415010130622	negative regulation of intracellular signal transduction
GO:0043549	0.0011202010028554274	regulation of kinase activity
GO:0051173	0.0011856880497588703	positive regulation of nitrogen compound metabolic process
GO:1902680	0.0012453124190454528	positive regulation of RNA biosynthetic process
GO:0010604	0.0012897637315139733	positive regulation of macromolecule metabolic process
GO:0043170	0.0013954923844891917	macromolecule metabolic process
GO:0060255	0.0014520692078601287	regulation of macromolecule metabolic process
GO:0048522	0.001475254954188795	positive regulation of cellular process
GO:0010941	0.0028549911341236383	regulation of cell death
GO:1903508	0.0035286204049408913	positive regulation of nucleic acid-templated transcription
GO:0045893	0.0035286204049408913	positive regulation of DNA-templated transcription
GO:0044260	0.004202126672526967	cellular macromolecule metabolic process
GO:0043066	0.004311130728803615	negative regulation of apoptotic process
GO:0045859	0.004541253625883443	regulation of protein kinase activity
GO:0042981	0.004565523954764682	regulation of apoptotic process
GO:0060548	0.007705243401612475	negative regulation of cell death
GO:1901700	0.00811764587771829	response to oxygen-containing compound
GO:0043067	0.00924274292000685	regulation of programmed cell death
GO:0043069	0.009904069427319084	negative regulation of programmed cell death
GO:0043231	1.3867341698985643e-29	intracellular membrane-bounded organelle
GO:0043227	2.223689592092827e-28	membrane-bounded organelle
GO:0043229	3.937556410869593e-18	intracellular organelle
GO:0005634	4.1859801165561693e-17	nucleus
GO:0043226	2.1639341253107121e-16	organelle
GO:0005737	1.6581226574473859e-12	cytoplasm
GO:0005654	1.3819304689410783e-10	nucleoplasm
GO:0110165	4.267248188316495e-07	cellular anatomical entity
GO:0005829	4.234373342666982e-06	cytosol
GO:0005739	0.00048395787240268474	mitochondrion
GO:0005515	2.6276058581881547e-20	protein binding
GO:0005488	1.1888173146730177e-11	binding
GO:0003674	1.8658422443439796e-10	molecular_function
GO:0051082	6.593282652891977e-10	unfolded protein binding
GO:0044183	3.7819842415866e-09	protein folding chaperone
GO:0140662	5.84048539309409e-09	ATP-dependent protein folding chaperone
GO:0031072	5.687785906034946e-06	heat shock protein binding
GO:0051087	0.00015727540476037573	chaperone binding
GO:0003677	0.00224938435002753	DNA binding
GO:0001228	0.004157230830358031	DNA-binding transcription activator activity, RNA polymerase II-specific
GO:0001216	0.008084851527667298	DNA-binding transcription activator activity
GO:0003824	0.008800165673245777	catalytic activity
GO:0000244	1.956748384484428e-14	spliceosomal tri-snRNP complex assembly
GO:0000353	2.581192008793963e-14	formation of quadruple SL/U4/U5/U6 snRNP
GO:0000387	1.1258283128972768e-11	spliceosomal snRNP assembly
GO:0022618	2.1085865665890403e-11	ribonucleoprotein complex assembly
GO:0071826	2.1609556981373282e-11	ribonucleoprotein complex subunit organization
GO:0050907	4.5411948060535975e-06	detection of chemical stimulus involved in sensory perception
GO:0007606	5.0254654430034087e-05	sensory perception of chemical stimulus
GO:0050911	7.734801286582008e-05	detection of chemical stimulus involved in sensory perception of smell
GO:0009593	0.0003476289111200696	detection of chemical stimulus
GO:0050906	0.0013331404034731902	detection of stimulus involved in sensory perception
GO:0007608	0.0017013031331939376	sensory perception of smell
GO:0030532	4.8491213476059507e-14	small nuclear ribonucleoprotein complex
GO:0097525	7.270234046654132e-14	spliceosomal snRNP complex
GO:0120114	2.4242837694073993e-13	Sm-like protein family complex
GO:0005688	6.354897112748452e-13	U6 snRNP
GO:0046540	7.785709726281385e-10	U4/U6 x U5 tri-snRNP complex
GO:0097526	7.785709726281385e-10	spliceosomal tri-snRNP complex
GO:1990904	1.1658395739138888e-05	ribonucleoprotein complex
GO:0030621	6.040713440845009e-13	U4 snRNA binding
GO:0017069	1.7725000880530232e-10	snRNA binding
GO:0004984	4.990104740867683e-05	olfactory receptor activity
GO:0004888	0.003293851598805038	transmembrane signaling receptor activity
